t,Symbol(beta),Symbol(betaD),Symbol(theta),Symbol(thetaD),Symbol(theta_m),Symbol(beta_c),
6.21,-0.2278071507416874,0.29630252939346374,0.12104754284264281,-0.33332720613951666,0.22225801827106925,-0.22225801827106925,
6.22,-0.22484412544775276,0.31958817459234623,0.11771427078124765,-0.35591139348846046,0.21889141348906013,-0.21889141348906013,
6.23,-0.22164824370182928,0.34262298440524647,0.11415515684636304,-0.3782068348711599,0.21529670841482668,-0.21529670841482668,
6.24,-0.21822201385777681,0.36538350023953764,0.11037308849765144,-0.40019061914557097,0.21147681938262797,-0.21147681938262797,
6.25,-0.21456817885538143,0.38784642638078237,0.10637118230619573,-0.42184003383721913,0.2074348941292577,-0.2074348941292577,
6.26,-0.2106897145915736,0.40998865130622597,0.10215278196782354,-0.44313258677298795,0.20317430978750178,-0.20317430978750178,
6.2700000000000005,-0.20658982807851134,0.4317872693038499,0.09772145610009367,-0.4640460280132559,0.19869867066109462,-0.19869867066109462,
6.28,-0.20227195538547285,0.45321960239820996,0.09308099581996111,-0.4845583720762024,0.19401180577816074,-0.19401180577816074,
6.29,-0.19773975936149074,0.4742632225801897,0.08823541209919909,-0.5046479204437544,0.1891177662201911,-0.1891177662201911,
6.3,-0.19299712713568884,0.4948959743335537,0.08318893289476155,-0.5242932843341468,0.1840208222237092,-0.1840208222237092,
6.3100000000000005,-0.1880481673923533,0.5150959974466714,0.07794600005142008,-0.5434734077214592,0.1787254600519343,-0.1787254600519343,
6.32,-0.1828972074178866,0.5348417500932178,0.07251126597420549,-0.5621675905778062,0.17323637863394753,-0.17323637863394753,
6.33,-0.1775487899169544,0.5541120321609133,0.06688959006842743,-0.5803555123091396,0.16755848596911171,-0.16755848596911171,
6.34,-0.17200766959534528,0.5728860088026235,0.06108603494533603,-0.5980172553509174,0.1616968952947894,-0.1616968952947894,
6.3500000000000005,-0.16627880950731905,0.5911432341792598,0.055105862391826854,-0.6151333288852362,0.15565692101574513,-0.15565692101574513,
6.36,-0.16036737716552646,0.6088636753592187,0.048954529102974494,-0.6316846926364722,0.14944407439400426,-0.14944407439400426,
6.37,-0.15427874041193426,0.6260277363343156,0.04263768217660977,-0.6476527806980638,0.14306405899837588,-0.14306405899837588,
6.38,-0.1480184630485911,0.6426162821076192,0.036161154369629134,-0.6630195253388426,0.13652276591332543,-0.13652276591332543,
6.390000000000001,-0.1415923002275149,0.6586106628040888,0.029530959116240707,-0.6777673807333323,0.12982626870740313,-0.12982626870740313,
6.4,-0.13500619359947402,0.6739927377506626,0.022753285308907384,-0.6918793465567178,0.12298081816199646,-0.12298081816199646,
6.41,-0.1282662662219674,0.688744899468484,0.015834491843340206,-0.7053389913817908,0.11599283676177362,-0.11599283676177362,
6.42,-0.12137881722728257,0.7028500975161853,0.008781101929522299,-0.7181304758121452,0.10886891294881752,-0.10886891294881752,
6.43,-0.11435031625212072,0.7162918621198197,0.0015997971714008467,-0.7302385752832504,0.10161579514311486,-0.10161579514311486,
6.44,-0.10718739763092253,0.7290543275219975,-0.005702588581431658,-0.7416487024608318,0.09424038553275403,-0.09424038553275403,
6.45,-0.09989685435570256,0.7411222549801432,-0.013119075606039976,-0.7523469291642421,0.08674973363789963,-0.08674973363789963,
6.46,-0.09248563180590112,0.7524810553417698,-0.020642544897682396,-0.762320007741266,0.07915102965334078,-0.07915102965334078,
6.47,-0.08496082125248343,0.7631168111228493,-0.028265744975095056,-0.7715553918200736,0.071451597575154,-0.071451597575154,
6.48,-0.07732965314125494,0.7730162980143412,-0.03598129889329579,-0.7800412563638519,0.06365888811777126,-0.06365888811777126,
6.49,-0.06959949016111153,0.7821670057412341,-0.04378171145693431,-0.7877665169540145,0.055780471428496355,-0.055780471428496355,
6.5,-0.061777820103699185,0.7905571581984225,-0.051659376626474456,-0.7947208482288264,0.04782402960726081,-0.04782402960726081,
